Cell Type,Count
Afferent / Efferent Arteriole Endothelial,70
Descending Vasa Recta Endothelial ,442
Ascending Vasa Recta Endothelial,489
Peritubular Capilary Endothelial ,19
Lymphatic Endothelial,1
Glomerular Capillary Endothelial,2
Inner Medullary Collecting Duct,1167
Outer Medullary Collecting Duct Principal,55
Cortical Collecting Duct Principal,5
Medullary Fibroblast,1289
Fibroblast,4
Descending Thin Limb Type 3,341
Descending Thin Limb Type 2,26
Descending Thin Limb Type 1,30
Tissue-resident Macrophage,111
Monocyte-derived,34
Neutrophil,2
Monocyte,4
Plasma,7
T,42
Natural Killer / Natural Killer T,6
Mast,7
Cycling Mononuclear Phagocyte,8
B,2
Medullary Thick Ascending Limb,348
Cortical Thick Ascending Limb,3
Ascending Thin Limb,541
Outer Medullary Collecting Duct Intercalated Type A,114
Cortical Collecting Duct Intercalated Type A,2
Vascular Smooth Muscle / Pericyte,169
Cortical Vascular Smooth Muscle / Pericyte,1
Papillary Tip Epithelial,219
Proximal Tubule Epithelial Segment 1,2
Proximal Tubule Epithelial Segment 3,2
Connecting Tubule Principal,5
Connecting Tubule,1
Parietal Epithelial,1
