Cell Type,Count
Tissue-resident Macrophage,255
Monocyte,41
T,523
Monocyte-derived,279
B,244
Natural Killer / Natural Killer T,30
Neutrophil,25
Plasmacytoid Dendritic,17
Plasma,50
Cycling Mononuclear Phagocyte,13
Classical Dendritic,29
Mast,27
Distal Convoluted Tubule Type 1,882
Distal Convoluted Tubule Type 2,108
Proximal Tubule Epithelial Segment 1,1600
Proximal Tubule Epithelial Segment 2,752
Proximal Tubule Epithelial Segment 3,628
Connecting Tubule,913
Connecting Tubule Principal,301
Cortical Collecting Duct Intercalated Type A,1030
Connecting Tubule Intercalated Type A,26
Intercalated Type B,221
Outer Medullary Collecting Duct Intercalated Type A,9
Peritubular Capilary Endothelial ,460
Glomerular Capillary Endothelial,290
Descending Vasa Recta Endothelial ,59
Afferent / Efferent Arteriole Endothelial,50
Lymphatic Endothelial,29
Ascending Vasa Recta Endothelial,20
Macula Densa,724
Cortical Thick Ascending Limb,1409
Medullary Thick Ascending Limb,43
Fibroblast,532
Medullary Fibroblast,2
Cortical Collecting Duct Principal,621
Inner Medullary Collecting Duct,1
Outer Medullary Collecting Duct Principal,3
Parietal Epithelial,110
Podocyte,288
Descending Thin Limb Type 2,7
Descending Thin Limb Type 1,14
Vascular Smooth Muscle / Pericyte,56
Mesangial,55
Cortical Vascular Smooth Muscle / Pericyte,121
Renin-positive Juxtaglomerular Granular,6
Ascending Thin Limb,3
Papillary Tip Epithelial,2
Schwann / Neural,13
