Cell Type,Count
Glomerular Capillary Endothelial,120
Lymphatic Endothelial,7
Peritubular Capilary Endothelial ,303
Ascending Vasa Recta Endothelial,18
Afferent / Efferent Arteriole Endothelial,18
Descending Vasa Recta Endothelial ,14
Proximal Tubule Epithelial Segment 1,407
Proximal Tubule Epithelial Segment 3,202
Proximal Tubule Epithelial Segment 2,42
Cortical Thick Ascending Limb,399
Macula Densa,64
Medullary Thick Ascending Limb,1
Podocyte,165
Cortical Collecting Duct Principal,129
Distal Convoluted Tubule Type 1,287
Distal Convoluted Tubule Type 2,44
Intercalated Type B,26
Cortical Collecting Duct Intercalated Type A,117
Connecting Tubule Intercalated Type A,3
Outer Medullary Collecting Duct Intercalated Type A,1
Tissue-resident Macrophage,36
T,58
Monocyte-derived,22
Monocyte,7
Natural Killer / Natural Killer T,18
B,2
Neutrophil,2
Plasma,2
Classical Dendritic,3
Mast,4
Connecting Tubule Principal,9
Connecting Tubule,99
Vascular Smooth Muscle / Pericyte,39
Cortical Vascular Smooth Muscle / Pericyte,38
Mesangial,7
Renin-positive Juxtaglomerular Granular,3
Fibroblast,15
Parietal Epithelial,36
Papillary Tip Epithelial,1
Descending Thin Limb Type 2,13
Descending Thin Limb Type 1,1
