Cell Type,Count
Proximal Tubule Epithelial Segment 3,185
Proximal Tubule Epithelial Segment 1,38
Proximal Tubule Epithelial Segment 2,2
Outer Medullary Collecting Duct Principal,495
Cortical Collecting Duct Principal,18
Inner Medullary Collecting Duct,2
Descending Thin Limb Type 2,358
Descending Thin Limb Type 1,404
Medullary Thick Ascending Limb,1597
Cortical Thick Ascending Limb,409
Macula Densa,10
Vascular Smooth Muscle / Pericyte,112
Cortical Vascular Smooth Muscle / Pericyte,5
Mesangial,2
B,2
Natural Killer / Natural Killer T,5
Tissue-resident Macrophage,28
Monocyte-derived,16
T,8
Cycling Mononuclear Phagocyte,1
Mast,1
Monocyte,6
Plasma,1
Medullary Fibroblast,206
Fibroblast,63
Descending Vasa Recta Endothelial ,324
Ascending Vasa Recta Endothelial,263
Afferent / Efferent Arteriole Endothelial,32
Glomerular Capillary Endothelial,15
Peritubular Capilary Endothelial ,104
Lymphatic Endothelial,11
Outer Medullary Collecting Duct Intercalated Type A,86
Cortical Collecting Duct Intercalated Type A,39
Intercalated Type B,3
Podocyte,9
Connecting Tubule Principal,16
Connecting Tubule,12
Parietal Epithelial,8
Distal Convoluted Tubule Type 1,12
Distal Convoluted Tubule Type 2,2
Schwann / Neural,4
Ascending Thin Limb,1
