Cell Type,Count
Inner Medullary Collecting Duct,797
Cortical Collecting Duct Principal,1
Outer Medullary Collecting Duct Principal,14
Medullary Fibroblast,1507
Ascending Vasa Recta Endothelial,467
Descending Vasa Recta Endothelial ,277
Afferent / Efferent Arteriole Endothelial,20
Peritubular Capilary Endothelial ,4
Descending Thin Limb Type 3,477
Descending Thin Limb Type 2,36
Descending Thin Limb Type 1,10
Ascending Thin Limb,605
Tissue-resident Macrophage,87
Monocyte-derived,63
T,23
Neutrophil,3
Monocyte,7
Natural Killer / Natural Killer T,4
Cycling Mononuclear Phagocyte,3
Renin-positive Juxtaglomerular Granular,1
Vascular Smooth Muscle / Pericyte,101
Papillary Tip Epithelial,59
Outer Medullary Collecting Duct Intercalated Type A,22
Cortical Collecting Duct Intercalated Type A,5
Medullary Thick Ascending Limb,8
Cortical Thick Ascending Limb,2
Podocyte,4
Distal Convoluted Tubule Type 1,1
Proximal Tubule Epithelial Segment 3,1
Connecting Tubule,1
