Cell Type,Count
Descending Thin Limb Type 1,169
Descending Thin Limb Type 3,119
Descending Thin Limb Type 2,129
Descending Vasa Recta Endothelial ,232
Ascending Vasa Recta Endothelial,304
Afferent / Efferent Arteriole Endothelial,18
Peritubular Capilary Endothelial ,82
Glomerular Capillary Endothelial,1
Outer Medullary Collecting Duct Intercalated Type A,383
Cortical Collecting Duct Intercalated Type A,7
Cortical Thick Ascending Limb,109
Medullary Thick Ascending Limb,684
Macula Densa,11
Tissue-resident Macrophage,58
T,10
Monocyte-derived,14
Monocyte,2
Cycling Mononuclear Phagocyte,1
Mast,2
Neutrophil,2
Natural Killer / Natural Killer T,1
B,1
Classical Dendritic,1
Medullary Fibroblast,294
Fibroblast,23
Cortical Collecting Duct Principal,327
Outer Medullary Collecting Duct Principal,73
Inner Medullary Collecting Duct,25
Vascular Smooth Muscle / Pericyte,93
Ascending Thin Limb,61
Proximal Tubule Epithelial Segment 3,9
Proximal Tubule Epithelial Segment 1,1
Connecting Tubule Principal,10
Connecting Tubule,7
Schwann / Neural,1
