Cell Type,Count
Descending Thin Limb Type 3,319
Descending Thin Limb Type 2,5
Descending Thin Limb Type 1,13
Tissue-resident Macrophage,67
Monocyte-derived,44
Natural Killer / Natural Killer T,10
Monocyte,5
T,29
Cycling Mononuclear Phagocyte,1
Plasma,1
Neutrophil,3
Classical Dendritic,1
Inner Medullary Collecting Duct,1893
Outer Medullary Collecting Duct Principal,24
Cortical Collecting Duct Principal,10
Ascending Thin Limb,446
Ascending Vasa Recta Endothelial,388
Peritubular Capilary Endothelial ,9
Descending Vasa Recta Endothelial ,46
Lymphatic Endothelial,3
Afferent / Efferent Arteriole Endothelial,5
Vascular Smooth Muscle / Pericyte,31
Renin-positive Juxtaglomerular Granular,1
Medullary Fibroblast,556
Connecting Tubule Principal,5
Connecting Tubule,14
Outer Medullary Collecting Duct Intercalated Type A,23
Connecting Tubule Intercalated Type A,1
Cortical Collecting Duct Intercalated Type A,2
Intercalated Type B,1
Cortical Thick Ascending Limb,2
Proximal Tubule Epithelial Segment 1,1
Podocyte,2
Papillary Tip Epithelial,10
Schwann / Neural,2
