Cell Type,Count
Glomerular Capillary Endothelial,67
Descending Vasa Recta Endothelial ,102
Ascending Vasa Recta Endothelial,115
Peritubular Capilary Endothelial ,233
Afferent / Efferent Arteriole Endothelial,27
Lymphatic Endothelial,16
Cortical Thick Ascending Limb,373
Medullary Thick Ascending Limb,206
Macula Densa,39
Natural Killer / Natural Killer T,13
Monocyte-derived,52
Tissue-resident Macrophage,67
Mast,5
T,46
Cycling Mononuclear Phagocyte,7
Monocyte,11
B,3
Classical Dendritic,2
Cortical Collecting Duct Intercalated Type A,135
Connecting Tubule Intercalated Type A,2
Outer Medullary Collecting Duct Intercalated Type A,49
Intercalated Type B,18
Proximal Tubule Epithelial Segment 3,151
Proximal Tubule Epithelial Segment 1,175
Proximal Tubule Epithelial Segment 2,5
Cortical Collecting Duct Principal,192
Outer Medullary Collecting Duct Principal,13
Fibroblast,169
Medullary Fibroblast,138
Descending Thin Limb Type 1,208
Descending Thin Limb Type 2,123
Cortical Vascular Smooth Muscle / Pericyte,47
Vascular Smooth Muscle / Pericyte,94
Renin-positive Juxtaglomerular Granular,2
Mesangial,22
Distal Convoluted Tubule Type 1,75
Distal Convoluted Tubule Type 2,17
Connecting Tubule Principal,62
Connecting Tubule,90
Podocyte,93
Parietal Epithelial,11
Schwann / Neural,3
