Cell Type,Count
Proximal Tubule Epithelial Segment 3,218
Proximal Tubule Epithelial Segment 1,134
Proximal Tubule Epithelial Segment 2,49
Cortical Collecting Duct Intercalated Type A,269
Connecting Tubule Intercalated Type A,29
Intercalated Type B,113
Outer Medullary Collecting Duct Intercalated Type A,1
Cortical Collecting Duct Principal,303
Outer Medullary Collecting Duct Principal,6
Connecting Tubule,179
Connecting Tubule Principal,69
Vascular Smooth Muscle / Pericyte,62
Cortical Vascular Smooth Muscle / Pericyte,91
Mesangial,30
Renin-positive Juxtaglomerular Granular,9
Tissue-resident Macrophage,94
T,54
Monocyte-derived,41
Natural Killer / Natural Killer T,14
Monocyte,19
Mast,5
Cycling Mononuclear Phagocyte,5
Neutrophil,10
B,11
Plasma,2
Classical Dendritic,2
Cortical Thick Ascending Limb,400
Macula Densa,27
Medullary Thick Ascending Limb,6
Peritubular Capilary Endothelial ,428
Glomerular Capillary Endothelial,125
Descending Vasa Recta Endothelial ,14
Afferent / Efferent Arteriole Endothelial,20
Lymphatic Endothelial,11
Ascending Vasa Recta Endothelial,2
Distal Convoluted Tubule Type 1,427
Distal Convoluted Tubule Type 2,11
Fibroblast,188
Medullary Fibroblast,1
Podocyte,86
Parietal Epithelial,55
Descending Thin Limb Type 1,1
Descending Thin Limb Type 2,2
Schwann / Neural,3
